index,rank,book,german,english,gender,german_sentence,english_sentence
1,1,1,ich,I,prn,Ich habe keine Zeit dafür.,I don't have time for that.
2,2,1,sie,she / they,prn,War Jane nicht deine Freundin?,Wasn't Jane your girlfriend?
3,3,1,die,the / which,art,Sie redet die ganze Zeit über dich.,She talks about you all the time.
4,4,1,sein,to be / his,vb,John muss unschuldig sein.,John must be innocent.
5,5,1,du,you,prn,"Wirklich, du kannst nichts tun.","Honestly, there's nothing you can do."
6,6,1,nicht,not,prt,Trinken Sie nicht das Wasser!,Don't drink the water!
7,7,1,und,and,con,John sprang auf und umarmte Jane.,John jumped up and hugged Jane.
8,8,1,es,it,prn,Laut Zeitung wird es heute regnen.,"According to the newspaper, it's going to rain today."
9,9,1,was,what / which,prn,Was meint ihr eigentlich damit?,What do you actually mean by that?
10,10,1,wir,we,prn,Wir haben uns vor drei Jahren kennengelernt.,We met three years ago.
11,11,1,er,he,prn,Er stand da und sah mich an.,He stood there looking at me.
12,12,1,zu,to / too,prp,"John öffnete das Fenster, um frische Luft zu schnappen.",John opened the window to get some fresh air.
13,13,1,ein,a / one,art,Es ist ein kleiner Hund.,It is a small dog.
14,14,1,in,in,prp,Vielleicht bleibe ich noch einen Tag in Boston.,I may stay in Boston for another day.
15,15,1,mit,with,prp,Kann ich mit Karte zahlen?,Can I pay with a credit card?
16,16,1,wie,how / as,adv,"Ich frage mich, wie lange es dauern wird.",I wonder how long it will last.
17,17,1,ja,yes,prt,"Ja, ich verstehe dich gut.","Yes, I understand you well."
18,18,1,auf,on / up,prp,Die Frau reichte nach dem Messer auf dem Tisch.,The woman reached for the knife on the table.
19,19,1,so,so / such / so,adv,John ist immer so nett.,John is always so nice.
20,20,1,aber,but,con,"Ich habe gewartet, aber er ist nicht gekommen.","I waited, but he failed to arrive."
21,21,1,hier,here,adv,"Wir haben keinen Grund, hier zu bleiben.",We have no reason for staying here.
22,22,1,für,for,prp,Es ist ein Buch für kleine Kinder.,It's a book for small children.
23,23,1,von,from / of,prp,Ich habe ein Geschenk von meiner Schwester bekommen.,I got a present from my sister.
24,24,1,haben,to have,vb,Jeder sollte ein Ziel haben.,Everybody should have a purpose.
25,25,1,dass,that,con,"Auch wenn die Fakten dagegen sprachen, bestand er darauf, dass er es nicht gestohlen hatte.","Even when the facts demonstrated the opposite, he maintained he hadn't stolen it."
26,26,1,wenn,when / if,con,"Johns Frau mag es nicht, wenn er im Wohnzimmer raucht.",John's wife doesn't like it when he smokes in the living room.
27,27,1,an,at / on,prp,John saß an seinem Schreibtisch und studierte.,"John sat at his desk, studying."
28,28,1,da,there / since,adv,Sitzt da ein Hund auf dem Tisch?,Is there a dog on the table?
29,29,1,nein,no,prt,"Nein, ich bin nicht verheiratet.","No, I am not married."
30,30,1,noch,yet / nor,adv,Ich will eigentlich noch nicht ein Kind.,"Actually, I don't want a child yet."
31,31,1,nur,only,adv,Nur der Passagiere überlebten.,Only 3 out of the 98 passengers survived.
32,32,1,ihr,her / you / their,prn,Was ist mit ihr los?,What's wrong with her?
33,33,1,wissen,know,av,"Ich weiß nicht, wer er ist.",I don't know who he is.
34,34,1,sich,oneself,prn,Jane schloss sich im Badezimmer ein.,Jane locked herself in the bathroom.
35,35,1,aus,from / of,prp,Die Suppe wurde in einer Schüssel aus Brot serviert.,The soup was served in a bowl made of bread.
36,36,1,können,can,av,Wir können euch nicht helfen.,We can't help you.
37,37,1,gut,well / good,adv,Ich kann nicht gut schlafen.,I cannot sleep well.
38,38,1,auch,also,adv,Funktioniert das auch ohne Anmeldung?,Does it also work without registration?
39,39,1,schon,already,adv,John ist schon fleißig bei der Arbeit.,John is already hard at work.
40,40,1,jetzt,now,adv,Was soll ich John jetzt sagen?,What should I tell John now?
41,41,1,mal,times,adv,Jeder macht mal einen Fehler.,Everyone makes a mistake at times.
42,42,1,dann,then,adv,Aber wer bist du dann?,But who are you then?
43,43,1,meinen,to think / mean,vb,"Verstehen Sie, was ich meine?",Do you understand what I mean?
44,44,1,als,when / than / as,con,"Als ich aufwachte, schneite es.",It was snowing when I woke up.
45,45,1,um,around / (in order) to,prp,Die Post ist um die Ecke.,The post office is around the corner.
46,46,1,mein,my,prn,Mein Vater ist noch nicht zu Hause.,My father is not home yet.
47,47,1,doch,but / yes,adv,John ist doch ein Kind.,John is but a child.
48,48,1,werden,will / become,av,Ihr Traum wird eines Tages wahr werden.,Her dream will one day come true.
